artist,album,track_n,line,lyric,track_title
Taylor Swift,Taylor Swift,2,16,'Cause I hate that stupid old pickup truck you never let me drive,Picture to Burn
Taylor Swift,Taylor Swift,2,17,You're a redneck heartbreak who's really bad at lying,Picture to Burn
Taylor Swift,Taylor Swift,2,18,So watch me strike a match on all my wasted time,Picture to Burn
Taylor Swift,Taylor Swift,2,19,"As far as I'm concerned, you're just another picture to burn",Picture to Burn
Taylor Swift,Taylor Swift,2,20,"And if you're missing me, you'd better keep it to yourself",Picture to Burn
Taylor Swift,Taylor Swift,2,21,'Cause coming back around here would be bad for your health,Picture to Burn
Taylor Swift,Taylor Swift,2,22,'Cause I hate that stupid old pickup truck you never let me drive,Picture to Burn
Taylor Swift,Taylor Swift,2,23,You're a redneck heartbreak who's really bad at lying,Picture to Burn
Taylor Swift,Taylor Swift,2,24,So watch me strike a match on all my wasted time,Picture to Burn
Taylor Swift,Taylor Swift,2,25,In case you haven't heard,Picture to Burn
Taylor Swift,Taylor Swift,2,26,I really really hate that,Picture to Burn
Taylor Swift,Taylor Swift,2,27,Stupid old pickup truck you never let me drive,Picture to Burn
Taylor Swift,Taylor Swift,2,28,"You're a redneck heartbreak, who's really bad at lying",Picture to Burn
Taylor Swift,Taylor Swift,2,29,So watch me strike a match on all my wasted time,Picture to Burn
Taylor Swift,Taylor Swift,2,30,"As far as I'm concerned, you're just another picture to burn",Picture to Burn
Taylor Swift,Taylor Swift,2,31,"Burn, burn, burn, baby, burn",Picture to Burn
Taylor Swift,Taylor Swift,2,32,You're just another picture to burn,Picture to Burn
Taylor Swift,Taylor Swift,2,33,"Baby, burn",Picture to Burn
Taylor Swift,Taylor Swift,3,1,Drew looks at me,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,2,I fake a smile so he won't see,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,3,That I want and I'm needing,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,4,Everything that we should be,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,5,"I'll bet she's beautiful, that girl he talks about",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,6,And she's got everything that I have to live without,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,7,Drew talks to me,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,8,I laugh 'cause it's so damn funny,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,9,That I can't even see,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,10,Anyone when he's with me,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,11,"He says he's so in love, he's finally got it right",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,12,I wonder if he knows he's all I think about at night,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,13,He's the reason for the teardrops on my guitar,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,14,The only thing that keeps me wishing on a wishing star,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,15,He's the song in the car,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,16,"I keep singing, don't know why I do...",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,17,Drew walks by me,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,18,Can't he tell that I can't breathe?,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,19,"And there he goes, so perfectly",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,20,The kind of flawless I wish I could be,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,21,"She'd better hold him tight, give him all her love",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,22,Look in those beautiful eyes and know she's lucky 'cause,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,23,He's the reason for the teardrops on my guitar,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,24,The only thing that keeps me wishing on a wishing star,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,25,He's the song in the car,Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,26,"I keep singing, don't know why I do...",Teardrops On My Guitar
Taylor Swift,Taylor Swift,3,27,"So I drive home alone, as I turn off the light",Teardrops On My Guitar
